Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
Taufeeq Umar ,2001-2011,22,22,1,504,81,24.0,895,56.31,0,3,0,PAK
PR Reiffel ,1992-1999,92,57,21,503,58,13.97,709,70.94,0,1,5,AUS
AR Nurse ,2016-2019,54,40,14,502,44,19.3,513,97.85,0,0,2,WI
JE Emburey ,1980-1993,61,45,10,501,34,14.31,664,75.45,0,0,3,ENG
Ghulam Shabber ,2017-2019,23,23,0,500,90,21.73,800,62.5,0,4,2,UAE
GP Swann ,2000-2013,79,48,12,500,34,13.88,553,90.41,0,0,3,ENG
JH Davey ,2010-2019,31,28,6,497,64,22.59,742,66.98,0,2,2,SCOT
JJ Tucker ,2006-2009,26,26,1,496,52,19.84,726,68.31,0,1,1,BMUDA
DJ Callaghan ,1992-2000,29,25,6,493,169,25.94,726,67.9,1,0,2,SA
Mohammad Mithun ,2014-2019,24,21,2,493,63,25.94,659,74.81,0,4,1,BDESH
Naimur Rahman ,1995-2002,29,27,2,488,47,19.52,771,63.29,0,0,3,BDESH
JWM Dalrymple ,2006-2007,27,26,1,487,67,19.48,672,72.47,0,2,2,ENG
AC Cummins ,1991-2007,76,49,13,486,44,13.5,586,82.93,0,0,4,CANWI
R McLaren ,2009-2014,54,41,15,485,71,18.65,680,71.32,0,1,3,SA
MRJ Veletta ,1987-1989,20,19,4,484,68,32.26,642,75.38,0,2,2,AUS
CS Baugh ,2003-2012,47,35,11,482,49,20.08,719,67.03,0,0,2,WI
AA Mulla ,2006-2009,24,24,0,482,58,20.08,595,81.0,0,1,2,CAN
SR Patel ,2008-2013,36,22,7,482,70,32.13,517,93.23,0,1,1,ENG
CD Wallace ,2012-2019,28,24,1,482,58,20.95,527,91.46,0,4,1,SCOT
DJ Reekers ,2006-2009,19,19,0,481,104,25.31,411,117.03,1,0,3,NL
TN de Grooth ,2006-2013,34,32,4,480,97,17.14,774,62.01,0,1,1,NL
DA Minors ,2006-2007,20,20,2,478,68,26.55,791,60.42,0,3,1,BMUDA
BG Rogers ,2002-2005,15,15,0,478,84,31.86,689,69.37,0,5,2,ZIM
S Lee ,1995-2001,45,35,8,477,47,17.66,500,95.4,0,0,3,AUS
SS Iyer ,2017-2019,12,10,0,476,88,47.6,454,104.84,0,6,0,INDIA
Karim Sadiq ,2009-2016,24,22,2,475,114,23.75,587,80.91,2,0,3,AFG
MA Leask ,2014-2019,34,28,6,474,59,21.54,437,108.46,0,3,1,SCOT
CA Best ,1986-1992,24,23,4,473,100,24.89,690,68.55,1,2,2,WI
AJ Bichel ,1997-2004,67,36,13,471,64,20.47,600,78.5,0,1,5,AUS
L Siaka ,2014-2019,25,25,0,471,109,18.84,626,75.23,1,1,4,PNG
H Patel ,2009-2013,23,23,1,468,62,21.27,584,80.13,0,2,3,CAN
MD Shanaka ,2016-2019,22,19,1,468,68,26.0,404,115.84,0,3,1,SL
CH Morris ,2013-2019,42,27,4,467,62,20.3,465,100.43,0,1,0,SA
ALF de Mel ,1982-1987,57,41,9,466,36,14.56,595,78.31,0,0,6,SL
AO Malhotra ,1982-1986,20,19,4,457,65,30.46,645,70.85,0,1,0,INDIA
Umar Gul ,2003-2016,130,65,18,457,39,9.72,642,71.18,0,0,10,PAK
C Sharma ,1983-1994,65,35,16,456,101,24.0,504,90.47,1,0,3,INDIA
GEF Barnett ,2006-2010,22,22,0,455,77,20.68,745,61.07,0,1,1,CAN
R Gunasekera ,2008-2014,19,19,0,455,72,23.94,677,67.2,0,6,3,CAN
RR Hendricks ,2018-2019,18,18,1,455,102,26.76,591,76.98,1,2,1,SA
MD Dai ,2014-2018,18,18,2,454,76,28.37,585,77.6,0,3,1,PNG
Minhajul Abedin ,1986-1999,27,26,2,453,68,18.87,909,49.83,0,2,3,BDESH
Mehrab Hossain ,1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2,BDESH
WIA Fernando ,2016-2019,15,15,0,447,104,29.8,464,96.33,1,2,2,SL
TE Blain ,1986-1994,38,38,11,442,49,16.37,662,66.76,0,0,6,NZ
SAR Silva ,1984-1985,20,20,0,441,85,22.05,838,52.62,0,3,1,SL
MK Pandey ,2015-2018,23,18,6,440,104,36.66,479,91.85,1,2,2,INDIA
GR Viswanath ,1974-1982,25,23,1,439,75,19.95,830,52.89,0,2,1,INDIA
RL Chase ,2017-2019,25,18,2,438,94,27.37,575,76.17,0,2,2,WI
JP Maher ,1998-2003,26,20,3,438,95,25.76,673,65.08,0,1,1,AUS
AH Omarshah ,1983-1996,28,28,2,437,60,16.8,860,50.81,0,1,4,ZIM
PL Taylor ,1987-1992,83,47,25,437,54,19.86,583,74.95,0,1,4,AUS
DN Chudasama ,1996-1999,20,19,0,434,122,22.84,685,63.35,1,1,2,KENYA
CJ McDermott ,1985-1996,138,78,17,432,37,7.08,492,87.8,0,0,15,AUS
CJO Smith ,2006-2009,27,26,4,432,59,19.63,640,67.5,0,2,3,SCOT
Shafiqullah ,2009-2018,24,21,2,430,56,22.63,408,105.39,0,2,4,AFG
DR Pringle ,1982-1993,44,30,12,425,49,23.61,616,68.99,0,0,1,ENG
MN van Wyk ,2003-2015,17,17,1,425,82,26.56,617,68.88,0,4,2,SA
AK Sharma ,1988-1993,31,27,6,424,59,20.19,469,90.4,0,3,2,INDIA
RC Russell ,1987-1998,40,31,7,423,50,17.62,638,66.3,0,1,0,ENG
AS Hansra ,2010-2014,24,22,4,421,70,23.38,725,58.06,0,2,2,CAN
S Prasanna ,2011-2019,40,37,3,421,95,12.38,445,94.6,0,2,7,SL
SMA Priyanjan ,2013-2015,23,20,2,420,74,23.33,522,80.45,0,2,0,SL
AR Adams ,2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1,NZ
SR Waters ,2008-2011,20,20,0,419,74,20.95,751,55.79,0,2,2,KENYA
CO Browne ,1995-2005,46,32,8,415,46,17.29,590,70.33,0,0,3,WI
Farhad Reza ,2006-2011,34,31,6,412,50,16.48,636,64.77,0,1,2,BDESH
Usman Ghani ,2014-2017,15,15,0,411,118,27.4,520,79.03,1,2,2,AFG
GB Brent ,1996-2008,70,54,20,408,59,12.0,698,58.45,0,1,3,ZIM
CB Lambert ,1990-2004,12,12,0,407,119,33.91,540,75.37,1,2,1,USAWI
RW Price ,2002-2012,102,59,17,406,46,9.66,701,57.91,0,0,10,ZIM
IR Bishop ,1988-1997,84,44,19,405,33,16.2,776,52.19,0,0,3,WI
EA Brandes ,1987-1999,59,41,10,404,55,13.03,448,90.17,0,2,3,ZIM
ID Blackwell ,2002-2006,34,29,2,403,82,14.92,465,86.66,0,1,6,ENG
F Mutizwa ,2009-2011,17,15,2,403,79,31.0,502,80.27,0,4,2,ZIM
JP Bray ,2006-2007,15,15,1,401,116,28.64,594,67.5,2,0,2,IRE
RG de Alwis ,1983-1988,31,27,8,401,59,21.1,512,78.32,0,2,2,SL
S Madan Lal ,1974-1987,67,35,14,401,53,19.09,645,62.17,0,1,1,INDIA
TBM de Leede ,1996-2007,29,25,1,400,58,16.66,628,63.69,0,2,4,NL
WS Jayantha ,2004-2004,17,17,2,400,74,26.66,530,75.47,0,2,2,SL
Mushtaq Ahmed ,1989-2003,144,76,34,399,34,9.5,698,57.16,0,0,10,PAK
Sohail Tanvir ,2007-2014,62,40,11,399,59,13.75,458,87.11,0,1,3,PAK
DR Chumney ,2003-2007,21,21,2,397,48,20.89,595,66.72,0,0,0,CAN
Mohammad Naveed ,2014-2019,39,34,10,397,45,16.54,323,122.91,0,0,2,UAE
IA Karim ,2011-2014,9,9,0,396,112,44.0,522,75.86,2,1,0,KENYA
AB Barath ,2010-2012,14,14,1,394,113,30.3,612,64.37,1,1,2,WI
Shoaib Akhtar ,1998-2011,163,84,40,394,43,8.95,538,73.23,0,0,11,PAK
T Thushara ,2008-2010,38,27,6,392,54,18.66,424,92.45,0,1,4,SL
PJ Ongondo ,1999-2011,79,62,19,391,36,9.09,621,62.96,0,0,9,AfrKENYA
Mirwais Ashraf ,2009-2016,46,38,11,387,52,14.33,543,71.27,0,1,3,AFG
AF Giles ,1997-2005,62,35,13,385,41,17.5,551,69.87,0,0,2,ENG
Hannan Sarkar ,2002-2004,20,20,0,383,61,19.15,713,53.71,0,3,2,BDESH
Sadiq Mohammad ,1973-1980,19,19,1,383,74,21.27,755,50.72,0,2,0,PAK
Mehidy Hasan Miraz ,2017-2019,38,24,4,381,51,19.05,498,76.5,0,1,0,BDESH
MH Dekker ,1992-1996,23,22,2,379,79,18.95,798,47.49,0,2,0,ZIM
DM Wellham ,1981-1987,17,17,2,379,97,25.26,699,54.22,0,1,0,AUS
S Bau ,2016-2019,21,21,1,378,59,18.9,602,62.79,0,1,4,PNG
U Bhatti ,2006-2010,36,30,8,378,46,17.18,513,73.68,0,0,2,CAN
GF Lawson ,1980-1989,79,52,18,378,33,11.11,500,75.6,0,0,9,AUS
MR Ramprakash ,1991-2001,18,18,4,376,51,26.85,544,69.11,0,1,0,ENG
Al Sahariar ,1999-2003,29,29,1,374,62,13.35,709,52.75,0,2,6,BDESH
CC Lewis ,1990-1998,53,40,14,374,33,14.38,459,81.48,0,0,6,ENG
SMH Kirmani ,1976-1986,49,31,13,373,48,20.72,616,60.55,0,0,2,INDIA
DS de Silva ,1975-1985,41,29,10,371,37,19.52,691,53.69,0,0,0,SL
S Chattergoon ,2006-2009,18,17,2,370,54,24.66,615,60.16,0,2,2,WI
PJ Forrest ,2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2,AUS
DW Steyn ,2005-2019,125,51,12,365,60,9.35,562,64.94,0,1,8,AfrSA
WM Darling ,1978-1982,18,18,1,363,74,21.35,679,53.46,0,1,0,AUS
Mohammad Amir ,2009-2019,61,30,10,363,73,18.15,444,81.75,0,2,5,PAK
SP Narine ,2011-2016,65,45,12,363,36,11.0,441,82.31,0,0,8,WI
SS Karim ,1997-2000,34,27,4,362,55,15.73,560,64.64,0,1,2,INDIA
R Rampaul ,2003-2015,92,40,11,362,86,12.48,472,76.69,0,1,3,WI
Shahriar Hossain ,1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4,BDESH
SW Ambris ,2017-2019,9,8,2,361,148,60.16,354,101.97,1,1,0,WI
Asif Ali ,2018-2019,18,14,1,361,52,27.76,280,128.92,0,3,0,PAK
DG Brownlie ,2012-2017,16,15,1,361,63,25.78,486,74.27,0,1,0,NZ
Hazratullah Zazai ,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,AFG
WK McCallan ,2006-2009,39,28,10,361,50,20.05,419,86.15,0,1,5,IRE
RC Irani ,1996-2003,31,30,5,360,53,14.4,549,65.57,0,1,7,ENG
Mushfiqur Rahman ,2000-2004,28,25,3,360,49,16.36,690,52.17,0,0,4,BDESH
BJ Patel ,2001-2006,31,25,3,360,44,16.36,736,48.91,0,0,4,KENYA
AD Brown ,1996-2001,16,16,0,354,118,22.12,427,82.9,1,1,2,ENG
ADS Fletcher ,2008-2016,25,25,0,354,54,14.16,549,64.48,0,2,3,WI
Nasir Jamal ,2014-2018,16,14,1,352,53,27.07,537,65.54,0,3,1,AFG
Wajahatullah Wasti ,1999-2000,15,15,0,349,84,23.26,713,48.94,0,1,1,PAK
Aaron Jones ,2019-2019,9,9,0,348,95,38.66,521,66.79,0,3,1,USA
MA Starc ,2010-2019,85,46,18,348,52,12.42,389,89.46,0,1,7,AUS
Zahid Fazal ,1990-1994,19,18,3,348,98,23.2,584,59.58,0,2,0,PAK
RR Pant ,2018-2019,15,13,0,346,71,26.61,328,105.48,0,1,1,INDIA
RDB Croft ,1996-2001,50,36,12,345,32,14.37,519,66.47,0,0,4,ENG
Ashfaq Ahmed ,2018-2019,16,16,0,344,92,21.5,387,88.88,0,2,1,UAE
GP Wickramasinghe ,1990-2002,134,64,24,344,32,8.6,543,63.35,0,0,12,SL
DNT Zoysa ,1997-2007,95,47,21,343,47,13.19,358,95.81,0,0,5,SL
HH Kanitkar ,1997-2000,34,27,8,339,57,17.84,512,66.21,0,1,2,INDIA
M Vijay ,2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0,INDIA
BE Congdon ,1973-1978,11,9,3,338,101,56.33,472,71.61,1,2,0,NZ
CM Old ,1973-1981,32,25,7,338,51,18.77,401,84.28,0,1,4,ENG
Shadab Khan ,2017-2019,43,22,9,337,54,25.92,491,68.63,0,3,2,PAK
MG Burgess ,1973-1981,26,20,0,336,47,16.8,515,65.24,0,0,1,NZ
NM Hauritz ,2002-2011,58,32,17,336,53,22.4,349,96.27,0,1,0,AUS
SD Outerbridge ,2006-2009,23,23,0,336,56,14.6,612,54.9,0,1,4,BMUDA
Tapash Baisya ,2002-2007,56,41,13,336,35,12.0,576,58.33,0,0,4,BDESH
SS Pathirana ,2015-2017,18,14,1,332,56,25.53,383,86.68,0,1,0,SL
KA Edwards ,2011-2014,16,16,2,331,123,23.64,494,67.0,1,0,3,WI
Manjural Islam Rana ,2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1,BDESH
S Mukuddem ,2006-2007,20,18,4,331,57,23.64,650,50.92,0,1,2,BMUDA
Adnan Mufti ,2017-2018,18,16,4,330,57,27.5,409,80.68,0,1,0,UAE
Asif Iqbal ,1973-1979,10,8,2,330,62,55.0,466,70.81,0,5,0,PAK
ZE Surkari ,2008-2011,23,22,3,328,49,17.26,656,50.0,0,0,1,CAN
DJ Capel ,1987-1990,23,19,2,327,50,19.23,479,68.26,0,1,0,ENG
MH Yardy ,2006-2011,28,24,8,326,60,20.37,472,69.06,0,2,1,ENG
ML Nkala ,1998-2006,50,35,5,324,47,10.8,526,61.59,0,0,5,ZIM
Saeed Ajmal ,2008-2015,113,70,24,324,33,7.04,535,60.56,0,0,11,PAK
RP Snell ,1991-1996,42,28,8,322,63,16.1,330,97.57,0,2,1,SA
KJJ van Noortwijk ,1996-2003,9,9,2,322,134,46.0,428,75.23,1,1,1,NL
Anwar Ali ,2013-2016,22,16,5,321,43,29.18,367,87.46,0,0,0,PAK
CA Walsh ,1985-2000,205,79,33,321,30,6.97,451,71.17,0,0,11,WI
RB McCosker ,1975-1982,14,14,0,320,95,22.85,623,51.36,0,2,2,AUS
DR Brown ,1997-2007,25,24,6,319,50,17.72,481,66.32,0,1,3,ENGSCOT
HP Rinke ,2006-2006,18,18,0,317,72,17.61,378,83.86,0,3,2,ZIM
Faisal Iqbal ,2000-2006,18,16,2,314,100,22.42,519,60.5,1,0,3,PAK
NAM McLean ,1996-2003,45,34,8,314,50,12.07,383,81.98,0,1,7,WI
Mohammad Sami ,2001-2015,87,46,19,314,46,11.62,490,64.08,0,0,5,PAK
B Wood ,1972-1982,13,12,2,314,78,31.4,647,48.53,0,2,1,ENG
VV Morea ,2014-2018,13,13,1,313,65,26.08,460,68.04,0,3,1,PNG
RC Fredericks ,1973-1977,12,12,0,311,105,25.91,440,70.68,1,1,0,WI
BR Hartland ,1992-1994,16,16,1,311,68,20.73,623,49.91,0,2,1,NZ
Chirag Suri ,2018-2019,14,14,0,310,67,22.14,545,56.88,0,2,3,UAE
N Chopra ,1998-2000,39,26,6,310,61,15.5,498,62.24,0,1,1,INDIA
BC Hollioake ,1997-2002,20,17,2,309,63,20.6,381,81.1,0,2,3,ENG
Nafees Iqbal ,2003-2005,16,16,0,309,58,19.31,568,54.4,0,2,1,BDESH
KAJ Roach ,2008-2019,92,57,34,308,34,13.39,576,53.47,0,0,8,WI
Ihsanullah ,2017-2018,16,16,2,307,57,21.92,440,69.77,0,3,2,AFG
DM Benkenstein ,1998-2002,23,20,3,305,69,17.94,463,65.87,0,1,3,SA
TK Musakanda ,2016-2018,15,15,1,304,60,21.71,382,79.58,0,1,1,ZIM
LE Bosman ,2006-2010,14,12,0,301,88,25.08,305,98.68,0,2,2,AfrSA
CMW Read ,2000-2006,36,24,7,300,30,17.64,410,73.17,0,0,4,ENG
WKM Benjamin ,1986-1995,85,52,12,298,31,7.45,406,73.39,0,0,10,WI
GS Ballance ,2013-2015,16,15,1,297,79,21.21,443,67.04,0,2,1,ENG
PA Nixon ,2007-2007,19,18,4,297,49,21.21,347,85.59,0,0,2,ENG
Zahoor Elahi ,1996-1997,14,14,1,297,86,22.84,507,58.57,0,3,3,PAK
CJA Amini ,2014-2019,15,15,1,296,61,21.14,430,68.83,0,2,1,PNG
DN Crookes ,1994-2000,32,23,3,296,54,14.8,412,71.84,0,1,3,SA
AJ Pycroft ,1983-1992,20,19,2,295,61,17.35,560,52.67,0,2,2,ZIM
DR Tuffey ,2000-2010,94,52,21,295,36,9.51,372,79.3,0,0,7,NZ
DL Murray ,1973-1980,26,17,5,294,61,24.5,468,62.82,0,2,0,WI
SJ Myburgh ,2011-2018,13,13,1,294,56,24.5,339,86.72,0,2,2,NL
JL Denly ,2009-2019,13,11,0,293,67,26.63,447,65.54,0,2,0,ENG
SE Bond ,2002-2010,82,40,22,292,31,16.22,384,76.04,0,0,2,NZ
P Kumar ,2007-2012,68,33,12,292,54,13.9,331,88.21,0,1,2,INDIA
SM Sharif ,2011-2019,44,33,16,292,34,17.17,394,74.11,0,0,3,SCOT
Tanwir Afzal ,2014-2018,20,19,3,292,73,18.25,255,114.5,0,1,3,HKG
RN Lewis ,1997-2009,28,21,5,291,49,18.18,367,79.29,0,0,1,WI
DA Reeve ,1991-1996,29,21,9,291,35,24.25,389,74.8,0,0,0,ENG
CS Pandit ,1986-1992,36,23,9,290,33,20.71,400,72.5,0,0,2,INDIA
Sanwar Hossain ,1998-2003,27,27,2,290,52,11.6,597,48.57,0,1,2,BDESH
SMSM Senanayake ,2012-2015,49,33,11,290,42,13.18,311,93.24,0,0,6,SL
JN Gillespie ,1996-2005,97,39,16,289,44,12.56,368,78.53,0,0,8,AUS
IDR Bradshaw ,2004-2007,62,34,11,287,37,12.47,480,59.79,0,0,6,WI
KM Curran ,1983-1987,11,11,0,287,73,26.09,430,66.74,0,2,1,ZIM
LG Howell ,1998-1998,12,12,0,287,68,23.91,388,73.96,0,4,1,NZ
MK Tiwary ,2008-2015,12,12,1,287,104,26.09,403,71.21,1,1,0,INDIA
D Lloyd ,1973-1980,8,8,1,285,116,40.71,526,54.18,1,0,0,ENG
VJ Marks ,1980-1988,34,24,3,285,44,13.57,434,65.66,0,0,0,ENG
JAR Blain ,1999-2009,33,25,6,284,41,14.94,517,54.93,0,0,3,SCOT
NO Miller ,2008-2018,50,27,13,284,51,20.28,359,79.1,0,1,4,WI
LP van Troost ,2002-2007,23,20,2,284,40,15.77,456,62.28,0,0,2,NL
A Dananjaya ,2012-2019,36,27,5,283,50,12.86,411,68.85,0,1,2,SL
MA Holding ,1976-1987,102,42,11,282,64,9.09,377,74.8,0,2,9,WI
MA Jones ,2018-2019,8,8,0,281,87,35.12,401,70.07,0,3,0,SCOT
Hasan Ali ,2016-2019,53,29,9,280,59,14.0,247,113.36,0,2,3,PAK
S Randiv ,2009-2016,31,18,2,280,56,17.5,382,73.29,0,1,2,SL
CL King ,1976-1980,18,14,2,280,86,23.33,267,104.86,0,1,2,WI
RS Sodhi ,2000-2002,18,14,3,280,67,25.45,381,73.49,0,2,0,INDIA
DJ Willey ,2015-2019,46,27,12,279,50,18.6,339,82.3,0,1,1,ENG
KC Brathwaite ,2016-2017,10,10,0,278,78,27.8,483,57.55,0,1,0,WI
JE Taylor ,2003-2017,90,42,9,278,43,8.42,323,86.06,0,0,7,WI
AV Vadher ,1997-1999,18,16,6,278,73,27.8,512,54.29,0,2,1,KENYA
Mehrab Hossain jnr ,2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1,BDESH
JM Anderson ,2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10,ENG
DT Christian ,2012-2014,19,18,5,273,39,21.0,307,88.92,0,0,0,AUS
GH Worker ,2015-2018,10,10,2,272,58,34.0,379,71.76,0,3,0,NZ
SW Billings ,2015-2018,15,12,0,271,62,22.58,298,90.93,0,2,1,ENG
JW Hastings ,2010-2017,29,21,11,271,51,27.1,273,99.26,0,1,1,AUS
DT Tiripano ,2014-2019,31,22,6,271,44,16.93,468,57.9,0,0,1,ZIM
Umar Amin ,2010-2018,16,16,1,271,59,18.06,392,69.13,0,1,0,PAK
AM Bacher ,1997-2005,13,13,0,270,56,20.76,469,57.56,0,1,0,SA
Jahurul Islam ,2010-2013,14,13,1,270,53,22.5,371,72.77,0,1,2,BDESH
KBJ Azad ,1980-1986,25,21,2,269,39,14.15,400,67.25,0,0,3,INDIA
AD Gaekwad ,1975-1987,15,14,1,269,78,20.69,509,52.84,0,1,2,INDIA
AW Greig ,1972-1977,22,19,3,269,48,16.81,378,71.16,0,0,1,ENG
M Morkel ,2007-2018,117,47,18,268,32,9.24,354,75.7,0,0,9,AfrSA
Aaqib Javed ,1988-1998,163,51,26,267,45,10.68,456,58.55,0,0,7,PAK
Shamsur Rahman ,2013-2014,10,10,0,266,96,26.6,350,76.0,0,2,2,BDESH
CA Soper ,2016-2019,20,19,4,265,39,17.66,496,53.42,0,0,1,PNG
JM Vince ,2015-2019,13,11,0,265,51,24.09,299,88.62,0,1,1,ENG
Afsar Zazai ,2014-2017,17,16,1,264,60,17.6,488,54.09,0,2,3,AFG
MH Denness ,1973-1975,12,11,2,264,66,29.33,417,63.3,0,1,1,ENG
S Jyoti ,2006-2010,14,13,1,264,117,22.0,442,59.72,1,0,3,CAN
SP Patil ,2014-2015,13,12,2,263,99,26.3,404,65.09,0,2,1,UAE
HJW Gardiner ,2013-2015,11,11,0,262,96,23.81,396,66.16,0,2,1,SCOT
Mohammad Saifuddin ,2017-2019,20,12,3,262,51,29.11,322,81.36,0,2,1,BDESH
Naved Latif ,2001-2003,11,11,0,262,113,23.81,417,62.82,1,0,1,PAK
Aizaz Khan ,2014-2018,19,15,2,260,44,20.0,374,69.51,0,0,1,HKG
MD Patel ,2019-2019,9,9,1,260,82,32.5,392,66.32,0,2,3,USA
AR McBrine ,2014-2019,42,25,9,259,79,16.18,356,72.75,0,1,1,IRE
K Rabada ,2015-2019,75,28,12,259,31,16.18,333,77.77,0,0,2,SA
Ahmed Raza ,2014-2019,28,24,4,258,50,12.9,463,55.72,0,1,4,UAE
KJ Wadsworth ,1973-1976,13,10,1,258,104,28.66,334,77.24,1,0,1,NZ
ML Udawatte ,2008-2008,9,9,0,257,73,28.55,383,67.1,0,2,1,SL
SS Dighe ,2000-2001,23,17,6,256,94,23.27,421,60.8,0,1,1,INDIA
R Edwards ,1972-1975,9,8,1,255,80,36.42,349,73.06,0,3,1,AUS
AD Poynter ,2008-2014,19,16,3,255,78,19.61,412,61.89,0,2,3,IRE
N Vanua ,2014-2019,23,20,3,254,35,14.94,289,87.88,0,0,2,PNG
S Ranatunga ,1994-1996,13,11,0,253,70,23.0,526,48.09,0,2,0,SL
IP Butchart ,1983-1995,20,16,2,252,54,18.0,395,63.79,0,1,2,ZIM
NM Coulter-Nile ,2013-2019,32,21,6,252,92,16.8,262,96.18,0,1,2,AUS
J Edness ,2007-2008,11,11,2,252,72,28.0,403,62.53,0,1,1,BMUDA
JFM Morrison ,1975-1983,18,15,3,252,55,21.0,472,53.38,0,1,0,NZ
HA Varaiya ,2006-2014,63,38,17,252,34,12.0,489,51.53,0,0,3,KENYA
H Klaasen ,2018-2019,14,13,2,251,59,22.81,291,86.25,0,1,1,SA
JJ Atkinson ,2008-2017,9,9,0,250,59,27.77,398,62.81,0,1,0,HKG
JAH Marshall ,2005-2008,10,10,0,250,161,25.0,313,79.87,1,1,2,NZ
CT Radley ,1978-1978,4,4,1,250,117,83.33,367,68.11,1,1,0,ENG
AR Caddick ,1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6,ENG
GF Labrooy ,1986-1992,44,36,7,249,33,8.58,350,71.14,0,0,6,SL
JD Campbell ,2019-2019,6,5,0,248,179,49.6,214,115.88,1,0,0,WI
JM Parker ,1974-1981,24,20,0,248,66,12.4,403,61.53,0,1,1,NZ
RB Reid ,1988-1991,9,9,0,248,64,27.55,448,55.35,0,2,0,NZ
RH Vance ,1988-1989,8,8,0,248,96,31.0,481,51.55,0,1,0,NZ
MA Suji ,1996-2006,64,52,22,247,16,8.23,526,46.95,0,0,9,KENYA
A Turner ,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0,AUS
K Doriga ,2017-2019,14,13,2,246,89,22.36,388,63.4,0,1,1,PNG
AD Mascarenhas ,2007-2009,20,13,2,245,52,22.27,257,95.33,0,1,2,ENG
SM Davies ,2009-2011,8,8,0,244,87,30.5,231,105.62,0,1,1,ENG
JP Kotze ,2019-2019,5,5,0,244,136,48.8,267,91.38,1,0,0,NAM
RAS Lakmal ,2009-2019,85,48,22,244,26,9.38,404,60.39,0,0,9,SL
Qaiser Ali ,2006-2008,17,17,1,244,70,15.25,383,63.7,0,2,3,CAN
RP Burl ,2017-2019,18,15,3,243,53,20.25,357,68.06,0,1,1,ZIM
BP Patel ,1974-1979,10,9,1,243,82,30.37,399,60.9,0,1,0,INDIA
PR Downton ,1977-1988,28,20,5,242,44,16.13,358,67.59,0,0,2,ENG
Hasan Raza ,1996-1999,16,13,0,242,77,18.61,480,50.41,0,1,1,PAK
MJ Di Venuto ,1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0,AUS
GD Drummond ,2007-2013,30,20,7,240,35,18.46,262,91.6,0,0,2,SCOT
DK Lillee ,1972-1983,63,34,8,240,42,9.23,320,75.0,0,0,6,AUS
CM Wright ,2006-2009,20,18,3,240,37,16.0,351,68.37,0,0,2,SCOT
Amjad Javed ,2008-2017,15,13,1,239,56,19.91,267,89.51,0,1,1,UAE
CRD Fernando ,2001-2012,147,61,35,239,20,9.19,392,60.96,0,0,9,SL
J Garner ,1977-1987,98,41,15,239,37,9.19,360,66.38,0,0,5,WI
T Panyangara ,2004-2016,65,49,13,239,33,6.63,463,51.61,0,0,9,ZIM
KJ Arnott ,1987-1993,13,12,2,238,60,23.8,491,48.47,0,3,0,ZIM
DC Thomas ,2009-2013,21,19,2,238,37,14.0,364,65.38,0,0,3,WI
NS Poonia ,2006-2009,21,21,0,237,67,11.28,377,62.86,0,1,7,SCOT
Enamul Haque ,1990-2002,29,26,5,236,32,11.23,479,49.26,0,0,1,BDESH
GJ Hopkins ,2004-2010,25,17,1,236,45,14.75,311,75.88,0,0,3,NZ
LM Jongwe ,2014-2016,22,19,3,236,46,14.75,303,77.88,0,0,2,ZIM
Khurram Manzoor ,2008-2009,7,7,0,236,83,33.71,375,62.93,0,3,1,PAK
GR Codrington ,2006-2007,17,15,3,235,45,19.58,372,63.17,0,0,1,CAN
JP Crawley ,1994-1999,13,12,1,235,73,21.36,408,57.59,0,2,2,ENG
P Khadka ,2018-2019,6,6,0,235,115,39.16,286,82.16,1,1,0,NEPAL
PJ Cummins ,2011-2019,58,35,12,234,36,10.17,328,71.34,0,0,5,AUS
Iftikhar Anjum ,2004-2010,62,34,19,234,32,15.6,378,61.9,0,0,4,PAK
Ikram Alikhil ,2019-2019,12,12,3,234,86,26.0,386,60.62,0,2,0,AFG
P Mustard ,2007-2008,10,10,0,233,83,23.3,252,92.46,0,1,0,ENG
AME Roberts ,1975-1983,56,32,9,231,37,10.04,357,64.7,0,0,3,WI
STR Binny ,2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,INDIA
TM Chappell ,1980-1983,20,13,0,229,110,17.61,365,62.73,1,0,2,AUS
SHU Karnain ,1984-1990,19,17,5,229,41,19.08,386,59.32,0,0,2,SL
TM Dowlin ,2009-2010,11,11,2,228,100,25.33,348,65.51,1,1,2,WI
DR Flynn ,2008-2012,20,17,2,228,35,15.2,360,63.33,0,0,3,NZ
AY Karim ,1996-2003,34,24,6,228,53,12.66,375,60.8,0,1,5,KENYA
SR Thompson ,2013-2017,20,15,1,228,39,16.28,251,90.83,0,0,0,IRE
